Source,Target,Type,Id,Label,timeset,Weight
1445880242707570691,106524304,Directed,73,,,2
1545912997,106524304,Directed,74,,,1
831084798621782016,106524304,Directed,75,,,1
55976571,106524304,Directed,76,,,1
305401065,106524304,Directed,77,,,1
704798725747531776,106524304,Directed,78,,,2
4744498950,106524304,Directed,79,,,1
766759351973404672,106524304,Directed,80,,,2
47781573,106524304,Directed,81,,,1
994077337,106524304,Directed,82,,,3
14055736,106524304,Directed,83,,,1
1236010900693356549,106524304,Directed,84,,,2
1171683272,106524304,Directed,85,,,1
1338338931792756737,106524304,Directed,86,,,1
562243642,106524304,Directed,88,,,1
15772683,106524304,Directed,89,,,1
1251340447387172868,106524304,Directed,91,,,1
1350484767255519233,106524304,Directed,92,,,1
1335046616697372675,106524304,Directed,93,,,1
20750271,106524304,Directed,94,,,1
130909683,106524304,Directed,95,,,1
1364261390614106113,106524304,Directed,96,,,1
44416854,106524304,Directed,97,,,2
1511003670,106524304,Directed,98,,,1
536594609,106524304,Directed,99,,,1
273683993,106524304,Directed,101,,,1
1156602559378804741,106524304,Directed,104,,,1
1156033982586208256,106524304,Directed,105,,,1
139819609,106524304,Directed,106,,,1
413514250,106524304,Directed,108,,,1
1189800120,106524304,Directed,109,,,1
138418077,106524304,Directed,110,,,1
382489139,106524304,Directed,111,,,1
374300583,106524304,Directed,112,,,1
3226840807,106524304,Directed,113,,,1
133863908,106524304,Directed,114,,,1
57127265,142731825,Directed,116,,,1
1417929933800751104,142731825,Directed,117,,,1
55823004,142731825,Directed,118,,,1
1447315781289750532,142731825,Directed,119,,,2
14262411,142731825,Directed,121,,,1
845487573011173380,109144163,Directed,122,,,3
785448020628430849,109144163,Directed,123,,,5
77283552,109144163,Directed,124,,,4
38055290,109144163,Directed,125,,,2
34506336,109144163,Directed,127,,,1
242798024,109144163,Directed,128,,,1
138077463,109144163,Directed,131,,,3
18519855,109144163,Directed,132,,,2
268824309,109144163,Directed,135,,,3
