id,ndp_exp2_average_activation_time
4880637512,1.0
4922698441,1.0
702598323958620163,1.0
704798725747531776,2.0
705142279728664576,1.0
715394299207090179,1.0
718082561596067840,1.0
726839398373838848,1.0
727212809948401664,1.0
727878818246070275,2.0
728594002606428161,1.0
730780438269206528,1.0
730797462991065088,1.0
730826158258946050,1.0
744559800877342730,1.0
745995126263193601,2.0
750275313846935552,1.0
753638148958216192,1.0
756909131533922304,1.0
756953808131858432,1.0
758042170968375296,1.0
760257132675600386,1.0
768559569891012608,1.0
771389564736905216,1.0
771466526348107776,1.0
771715827800342528,1.0
778792652644818944,2.0
779175673264902144,1.0
780111689626681344,1.0
788806262045732864,1.0
795627516878852096,1.0
797133264716754944,1.0
803502925209178112,1.0
804810092302503936,1.0
813058232797237248,2.0
815428708144218112,1.0
816758120819015680,1.0
818467340895522817,1.0
818660875259277313,1.0
819185162479144960,1.0
819279657187086336,1.0
821066393143672836,1.0
822810047025659904,1.0
823317383838253056,1.0
823680319274381312,1.0
824357739501531136,1.0
825925386110382080,1.0
830585528961495040,1.0
838066498782519298,1.0
840697793618550787,1.0
842121813278752768,1.0
846920964113870848,1.0
847251704068190208,1.0
856686343144955904,1.0
864910325321265153,2.0
865300797130764288,1.0
865566329247608832,1.0
869639001400942592,1.0
871189841186357248,1.0
872885192590884865,1.0
873624924711256064,1.0
875672733752987649,1.0
876479489500487681,1.0
877347579180220417,1.0
884265045479313408,1.0
885644906915663872,1.0
885811180278661120,1.0
891058415195303939,1.0
896453296059146240,1.0
897094186213588992,1.0
900031843080192000,1.0
900412752832978944,1.0
907302868645953537,1.0
912657193941553153,1.0
915577980092641280,1.0
917122313837039616,1.0
920307650402775041,1.0
922963142300143616,1.0
928790819145842688,1.0
929856990934790144,1.0
939007961388662784,1.0
943892192447344641,1.0
946092660795744256,1.0
952980338745147394,1.0
954431291629473794,1.0
958043434568134656,1.0
959432437754421249,2.0
960624707820113920,1.0
961001501513699328,1.0
962255435766968322,1.0
962424351596281856,1.0
965478102594863104,2.0
965974299470385154,1.0
970054179459919873,1.0
971857794826567680,1.0
973491119433572352,1.0
975519759105060864,1.0
975860978830028801,1.0
976143225927839744,1.0
978535635085504512,1.0
979827806023618560,1.0
981229378825801728,1.0
982017242354388992,1.0
982630470008553474,1.0
983448844041060352,1.0
986519394997039104,1.0
989298765163937792,1.0
989507174094262278,1.0
994221357071089664,2.0
996245368416407553,1.0
998590102573023232,2.0
998962971517898754,1.0
1008888246640762880,1.0
1009115210546929664,1.0
1010557821614739456,1.0
1012406984719470592,1.0
1015928973732114435,1.0
1016486686958739457,1.0
1017842910740410368,1.0
1024021327756382209,1.0
1026468656195227649,1.0
1030546808743841794,2.0
1040629333210148865,1.0
1044778781230039042,1.0
1045369159578574850,1.0
1047194401011900416,1.0
1050404170195333121,1.0
1051514280749752321,1.0
1057723606027792385,1.0
1064324514513702912,1.0
1064964294448750595,2.0
1066847336050147329,1.0
1072892244011700224,1.0
1080529497152278528,1.0
1081375274472591361,1.0
1085244786897027072,2.0
1088545656002801664,1.0
1091450434500341761,1.0
1095173919491780608,2.0
1095219121447301120,1.0
1095768409449459712,1.0
1096251117745332226,1.0
1098567360330502144,1.0
1100509588175097860,1.0
1107013222853304320,1.0
1109141736972939264,1.0
1109676125490499584,1.0
1113547517105528833,1.0
1114536540586348551,1.0
1117035592565628928,1.0
1120045145276198914,1.0
1120085915710263297,1.0
1121808544377053185,1.0
1122573500248510464,1.0
1123047281618505729,1.0
1123297838333603840,1.0
1138564320390836224,1.0
1139932775388049414,1.0
1142048265346715649,1.0
1144689874424999937,1.0
1144704604442988544,1.0
1145662294849990656,1.0
1147137986431258624,1.0
1151231204923977729,1.0
1153463878195589125,1.0
1155208255066558475,1.0
1157395568135557120,1.0
1158232790934048768,1.0
1160029264022003712,1.0
1161351506983038976,1.0
1161649331214200834,1.0
1162020975187288064,1.0
1162145379011518465,1.0
1163464930223435777,2.0
1164864823882067968,1.0
1171095411307753472,1.0
1173083481536159744,1.0
1174774009361260553,1.0
1177367344164888580,1.0
1177551303725240322,1.0
1178019071821877250,1.0
1180991940042661888,1.0
1181986921079287809,1.0
1185936230393024512,1.0
1187944161464475648,2.0
1194310568200548352,1.0
1197389912821116929,1.0
1199890847954882560,1.0
1204829532529803265,1.0
1207489601805455363,1.0
1214368702277308421,1.0
1218987476112543744,1.0
1225234537111683072,1.0
1225848216467509248,1.0
1227171998356443136,1.0
1227766472921014272,1.0
1228018552428466176,1.0
1229442788623818752,1.0
1232369847134121986,1.0
1232471924145577985,1.0
1232835905616011264,1.0
1235344992765448193,1.0
1236439017433989122,1.0
