id,bloc_exp2_average_activation_time
768306276,1.0
768392971,1.0
772015567,1.0
776856139,1.0
784654056,1.0
790573393,1.0
792139214,1.0
797430894,1.0
799272060,1.0
803381983,0.0
831073214,1.0
858518816,1.0
891422779,2.0
892064864,2.0
896523848,1.0
929808596,1.0
961562418,1.0
998328097,2.0
1006745179,1.0
1011023348,1.0
1014015888,1.0
1032849138,1.0
1055761939,1.0
1078364808,1.0
1080003638,1.0
1113358962,1.0
1164339799,1.0
1165944978,1.0
1188166700,1.0
1210346707,1.0
1268197814,1.0
1277702514,2.0
1325446172,1.0
1325684365,1.0
1342848846,2.0
1398407226,1.0
1518121218,1.0
1543396879,1.0
1553678239,1.0
1662392328,1.0
1707025764,2.0
1738057094,1.0
1917216540,1.0
1917792367,1.0
1939552088,2.0
1962787141,1.0
2174765248,1.0
2181094165,1.0
2191882972,1.0
2196475508,2.0
2212712047,1.0
2218170768,1.0
2240007445,1.0
2275886439,1.0
2305376845,1.0
2307595789,1.0
2323834254,1.0
2334292102,1.0
2339595207,1.0
2349869699,1.0
2363048184,1.0
2363571329,2.0
2369459569,2.0
2370756440,1.0
2375671734,1.0
2377760095,1.0
2382402638,1.0
2388076304,1.0
2397249467,1.0
2398652172,1.0
2400000572,1.0
2403281177,1.0
2410344827,1.0
2435336635,1.0
2439166100,1.0
2456365379,1.0
2506299709,1.0
2530008414,0.0
2531031282,1.0
2565711156,1.0
2595351727,1.0
2608355011,1.0
2646026455,1.0
2646453578,1.0
2693735376,2.0
2784043980,1.0
2797134487,2.0
2800741820,0.0
2801095093,2.0
2801151640,1.0
2807682921,2.0
2828630539,1.0
2848325709,1.0
2854830300,1.0
2857721650,1.0
2897430250,1.0
2970837568,1.0
2975160689,1.0
2985897154,1.0
2986879348,1.0
2995187879,1.0
3015024748,2.0
3025416359,0.0
3069298972,1.0
3082900265,1.0
3290638083,1.0
3313678069,1.0
3342264135,1.0
3379976578,1.0
3402128080,0.0
3433719760,1.0
3578717895,2.0
3865577362,1.0
3948995117,1.0
4091664921,1.0
4104867797,1.0
4329149122,1.0
