id,con_exp2_average_activation_time
349980521,1.0
350045415,1.0
350499770,1.0
351048894,2.0
352386097,1.0
356235103,1.0
359087790,1.0
361939671,1.0
365035637,2.0
371490958,1.0
374624709,1.0
375339745,1.0
380681593,1.0
380977188,1.0
385159068,2.0
394638583,1.0
396271232,1.0
396740319,1.0
400259548,1.0
404149170,1.0
407729904,1.0
411088142,1.0
412708728,0.0
413109219,1.0
414218319,0.0
417837124,2.0
420812893,1.0
422043691,2.0
427814660,1.0
430839747,1.0
431940711,1.0
433344236,2.0
433488291,1.0
449128142,1.0
449322071,1.0
450070002,1.0
456997166,1.0
461601213,2.0
465821314,1.0
469591354,1.0
474178244,1.0
478739122,1.0
489498904,1.0
491606159,1.0
493737345,1.0
496775153,1.0
499190879,1.0
513412890,2.0
513521744,1.0
517237024,1.0
523664519,1.0
536591461,1.0
538160411,1.0
538688851,1.0
540487077,1.0
540982171,1.0
543972287,1.0
549456994,1.0
550491423,1.0
559025858,1.0
561492593,1.0
564207331,0.0
569282240,1.0
575768903,2.0
581532895,1.0
581833131,1.0
582828847,1.0
582914397,1.0
588497903,1.0
590232437,1.0
590339623,1.0
602771526,1.0
602790864,1.0
606870513,1.0
612933385,1.0
618429904,1.0
619612365,2.0
623331613,1.0
631071790,1.0
632305734,1.0
634127491,1.0
635040003,1.0
713023110,2.0
715046844,1.0
718040551,2.0
726344857,1.0
731106744,1.0
733289617,1.0
739149720,0.0
747315625,2.0
750042494,1.0
752526390,1.0
764896957,1.0
785882137,1.0
817310264,1.0
828014604,1.0
837896886,1.0
846078295,1.0
855368659,2.0
874587830,1.0
896411018,1.0
897157166,1.0
900019370,1.0
930386257,1.0
932099905,1.0
933145620,1.0
941075214,1.0
950298044,1.0
963149508,1.0
967218847,1.0
982266768,2.0
985033201,2.0
985345664,1.0
996081618,2.0
1023119263,1.0
1048057538,1.0
1052848710,1.0
1052890357,1.0
1055801324,1.0
1058174719,1.0
1064928865,2.0
1072715886,1.0
1075681226,2.0
1107155809,1.0
1118262685,1.0
1131699392,1.0
1138479456,1.0
1138774873,1.0
1149274476,1.0
1160964450,1.0
1169435017,1.0
1271102306,1.0
1327666400,1.0
1368299923,1.0
1369937910,1.0
1375778762,1.0
1386821444,1.0
1410169802,1.0
1416149642,1.0
1437010028,1.0
1449320024,1.0
1461083509,1.0
1478487794,1.0
1486577563,1.0
1533143322,2.0
1533980137,1.0
1539304093,1.0
1541636461,1.0
1546707727,1.0
1548449911,2.0
1549119812,1.0
1560830034,1.0
1573512366,2.0
1587082884,1.0
1595968483,1.0
1622278086,1.0
1629524390,1.0
1652858042,1.0
1679672582,1.0
1686740173,1.0
1703331764,1.0
1722999380,1.0
1858605360,1.0
1867869019,1.0
1872440785,1.0
1873749758,1.0
1883901072,1.0
1894762183,1.0
1928383550,1.0
1939332804,1.0
1957288050,1.0
1977535040,1.0
2147623108,1.0
2155368667,1.0
2159101465,1.0
2166348872,1.0
2168339228,1.0
2178299731,1.0
2180279040,1.0
2193429451,1.0
2198725662,1.0
2246651074,1.0
2254171724,0.0
2255130686,2.0
2261896579,1.0
2263235551,1.0
2275260536,1.0
2275886439,1.0
2280753158,1.0
2282503537,1.0
2285515771,1.0
2300630916,1.0
2308693465,1.0
2319126458,1.0
2319481470,1.0
2321539819,1.0
2351183016,1.0
2377483297,1.0
2380475316,1.0
2384404819,1.0
2399974861,1.0
2408040639,1.0
2422634642,1.0
2432396348,2.0
2455282524,1.0
2462297426,2.0
2477862566,1.0
2502119838,1.0
2535562177,1.0
2544286639,1.0
2547997213,2.0
2550233168,1.0
2550603348,1.0
2555308646,0.0
2601225888,1.0
2601777381,1.0
2606472114,1.0
2655986288,1.0
2717607468,1.0
2722422829,1.0
2727310657,1.0
2735613917,1.0
2750128888,1.0
2772001302,1.0
2783925642,1.0
2790128122,2.0
2795176785,1.0
2801095093,1.0
2803595858,2.0
2806685818,1.0
2820234879,1.0
2829000901,1.0
2834753506,1.0
2839674810,1.0
2844386969,1.0
2845747685,1.0
2863551224,1.0
2866614370,1.0
2871257389,1.0
2872544674,1.0
2911660443,2.0
2923748740,1.0
2926539764,1.0
2942980610,1.0
2948595247,2.0
2968625753,1.0
2970313930,1.0
2973604683,1.0
2979044764,1.0
2988566500,2.0
2998532843,1.0
3004731065,1.0
3008716164,1.0
3010165940,1.0
3018841938,1.0
3025820980,1.0
3043023821,1.0
3083497578,1.0
3137916773,1.0
3138902536,1.0
3150800516,1.0
3158078347,1.0
3166954121,1.0
3170559853,1.0
3171057170,1.0
3181880412,1.0
3182332453,1.0
3201120029,1.0
3222636528,2.0
3242282429,2.0
3255889380,1.0
3257078154,1.0
3297710454,1.0
3303200602,1.0
3303821876,1.0
3306022386,2.0
3362989235,1.0
3375064758,1.0
3431896257,2.0
3449275407,2.0
3511941449,1.0
3581784381,1.0
3618354350,2.0
3677313497,1.0
3742238123,1.0
3745599797,2.0
3949264752,1.0
3950670863,1.0
3959605152,1.0
4041137254,1.0
4149852979,1.0
4179502257,1.0
4197757781,1.0
4218682163,1.0
4284943934,2.0
4352626513,1.0
4490028554,1.0
4637532628,1.0
4697174714,1.0
4746198495,2.0
4755451337,1.0
4759953132,1.0
4760139313,1.0
4865585571,1.0
4919657315,1.0
703098761698873344,1.0
704031546060234753,1.0
706494538597031936,1.0
706882756345729025,1.0
708470711250190337,1.0
710180898763890688,1.0
711980580813066240,1.0
712039917493342209,1.0
714569357267853312,1.0
718194319576797185,1.0
720139702125199360,1.0
724083079971659776,2.0
725702803281305600,1.0
728646305946304512,1.0
733429965333520390,2.0
736222567455989761,2.0
741945158741041152,1.0
742467081627705344,1.0
742538359659212800,1.0
742650306635276288,2.0
746383081779662848,1.0
750868797079318528,1.0
752886578834386946,1.0
756255749047803905,1.0
758987571699470336,1.0
759764062343430144,1.0
760249397103828992,1.0
760499214367526912,1.0
764128520834584577,1.0
766392155258679296,1.0
769165632738762752,1.0
787728000041254916,1.0
788747576598069248,1.0
791282631006621696,0.0
799437474242117632,1.0
802954176640806912,1.0
805909673274646528,1.0
807818269319000064,2.0
810349699316072448,1.0
810501263251140612,1.0
810723502768713728,1.0
814944553492828160,1.0
818660875259277313,1.0
819405797151113221,1.0
819966855393615872,1.0
823686137306812417,1.0
823933874551959552,2.0
825060240383172609,1.0
825060844845281281,1.0
825823199489318912,1.0
828306494156181505,1.0
829553755507085314,1.0
829798935380246529,1.0
834030391434551296,1.0
834709340825149440,1.0
840606252006854665,1.0
843485673420013569,1.0
843517713389510657,1.0
843609207215656960,2.0
843635229139128320,1.0
845109889852588032,1.0
852302557456117760,1.0
855541065444667397,1.0
857464194626727936,1.0
866821540079435777,1.0
873360193404379137,2.0
875128766116360192,2.0
881275595807653888,1.0
883431808611889153,1.0
883774859452579840,0.0
884746422364418048,1.0
889421222613626880,1.0
896911058459340800,1.0
898969348408258561,1.0
903430820312076289,1.0
904215922436702209,1.0
907365745515999233,1.0
913090676304306176,1.0
920307650402775041,2.0
924449589717061632,1.0
927687867232550913,1.0
928390260580585472,1.0
933472054644486145,1.0
938552716686708736,1.0
939081077808816130,1.0
939968588512870400,1.0
943174774154498048,0.0
945672241576136706,1.0
948659409399382017,1.0
951698105010864128,1.0
954224146174558208,1.0
955937460202168321,1.0
957374975593377793,1.0
957384842718560257,1.0
957821497170477056,1.0
959542409435762691,1.0
960608105980506112,1.0
960954351324934145,1.0
965309176627920896,1.0
966399088085389312,1.0
966408773823852544,1.0
968113704024895489,1.0
973491119433572352,2.0
975460565484122112,2.0
979151092691894272,1.0
985254690588905477,1.0
985723108719054849,1.0
986951065256919040,1.0
988277286204932096,1.0
989247521259249664,1.0
989311745100566529,0.0
999621483755286530,1.0
1001483776352911361,2.0
1002348476594884610,1.0
1009785173011988480,1.0
1010379252867321857,1.0
1012535841028075523,1.0
1014584876106944512,1.0
1014641512670523392,1.0
1017832535508815873,1.0
1018130243805110272,2.0
1019972864114556928,1.0
1020781133313654784,1.0
1023170244766883840,1.0
1025533236766760960,1.0
1026442571352948736,2.0
