Target,Source,Weight
45976740,714569357267853312,"{""weight"":1}"
739149720,714569357267853312,"{""weight"":1}"
343059330,714569357267853312,"{""weight"":1}"
36133644,714569357267853312,"{""weight"":1}"
45976740,1136772811656126464,"{""weight"":1}"
45976740,270307297,"{""weight"":1}"
45976740,454774863,"{""weight"":1}"
45976740,772948513,"{""weight"":1}"
45976740,3333795492,"{""weight"":3}"
215632349,3333795492,"{""weight"":1}"
45976740,2209473078,"{""weight"":1}"
45976740,838196271571591168,"{""weight"":1}"
45976740,18386792,"{""weight"":1}"
45976740,1166799265806503936,"{""weight"":1}"
45976740,262522708,"{""weight"":2}"
45976740,1370402422062002179,"{""weight"":1}"
45976740,1429982282891239433,"{""weight"":3}"
45976740,1434265814325202944,"{""weight"":3}"
45976740,1087134051914395648,"{""weight"":3}"
45976740,791076864,"{""weight"":2}"
45976740,121949981,"{""weight"":2}"
256360738,121949981,"{""weight"":1}"
45976740,1172475064870027264,"{""weight"":2}"
45976740,1443468994107822081,"{""weight"":2}"
45976740,941115769429024769,"{""weight"":2}"
45976740,1313732971061362690,"{""weight"":2}"
45976740,2305422800,"{""weight"":2}"
45976740,242885214,"{""weight"":2}"
45976740,1354230346586447877,"{""weight"":2}"
45976740,469747759,"{""weight"":2}"
45976740,432114850,"{""weight"":2}"
45976740,1166000110586626048,"{""weight"":2}"
45976740,884527637569323009,"{""weight"":2}"
45976740,369653658,"{""weight"":2}"
45976740,1434643524495020043,"{""weight"":3}"
45976740,75984040,"{""weight"":3}"
343059330,75984040,"{""weight"":1}"
412708728,75984040,"{""weight"":1}"
45976740,586195164,"{""weight"":2}"
45976740,2902344555,"{""weight"":2}"
45976740,564257648,"{""weight"":4}"
45976740,1027229536902098944,"{""weight"":2}"
45976740,2316626342,"{""weight"":2}"
45976740,1925354744,"{""weight"":3}"
45976740,958204773282533376,"{""weight"":2}"
45976740,1445751022526160908,"{""weight"":2}"
45976740,1183078912265355265,"{""weight"":2}"
45976740,98767459,"{""weight"":2}"
45976740,87297879,"{""weight"":2}"
45976740,753394222267527168,"{""weight"":2}"
45976740,373580557,"{""weight"":7}"
45976740,1430260512688902150,"{""weight"":2}"
45976740,2468436247,"{""weight"":2}"
45976740,3308781515,"{""weight"":2}"
266048357,3308781515,"{""weight"":3}"
45976740,2273880732,"{""weight"":2}"
45976740,1302114263771668481,"{""weight"":2}"
45976740,24181491,"{""weight"":2}"
