Id,Label,timeset,communityid,twittername,first name,last name,political affiliation,indegree,outdegree,degree,eigencentrality,community,polygon
472212001,,,1,,,,,0,0,0,0,Liberal,1
1395573282,,,1,,,,,0,0,0,0,Liberal,1
2889433635,,,1,,,,,0,0,0,0,Liberal,1
2960425510,,,1,,,,,0,0,0,0,Liberal,1
2829984303,,,1,,,,,0,0,0,0,Liberal,1
16982577,,,1,,,,,0,0,0,0,Liberal,1
275210802,,,1,,,,,0,0,0,0,Liberal,1
4396958260,,,1,,,,,0,0,0,0,Liberal,1
3733430840,,,1,,,,,0,0,0,0,Liberal,1
545727034,,,1,,,,,0,0,0,0,Liberal,1
36446781,,,1,,,,,0,0,0,0,Liberal,1
293880381,,,1,,,,,0,0,0,0,Liberal,1
18776647,,,1,,,,,0,0,0,0,Liberal,1
1213932116,,,1,,,,,0,0,0,0,Liberal,1
2293400150,,,1,,,,,0,0,0,0,Liberal,1
1388126808,,,1,,,,,0,0,0,0,Liberal,1
1432822363,,,1,,,,,0,0,0,0,Liberal,1
22446684,,,1,,,,,0,0,0,0,Liberal,1
14975580,,,1,,,,,0,0,0,0,Liberal,1
278528608,,,1,,,,,0,0,0,0,Liberal,1
624681580,,,1,,,,,0,0,0,0,Liberal,1
534561391,,,1,,,,,0,0,0,0,Liberal,1
563978872,,,1,,,,,0,0,0,0,Liberal,1
317907582,,,1,,,,,0,0,0,0,Liberal,1
1009255038,,,1,,,,,0,0,0,0,Liberal,1
1399195540093554688,,,1,,,,,0,0,0,0,Liberal,1
1445905244500676608,,,1,,,,,0,0,0,0,Liberal,1
22176387,,,1,,,,,0,0,0,0,Liberal,1
1436320286958309377,,,1,,,,,0,0,0,0,Liberal,1
439206539,,,1,,,,,0,0,0,0,Liberal,1
1417305223983419394,,,1,,,,,0,0,0,0,Liberal,1
836569810691575810,,,1,,,,,0,0,0,0,Liberal,1
96281231,,,1,,,,,0,0,0,0,Liberal,1
1447502440820002819,,,1,,,,,0,2,2,0,Liberal,1
184861330,,,1,,,,,0,2,2,0,Liberal,1
570417814,,,1,,,,,0,0,0,0,Liberal,1
65208984,,,1,,,,,0,2,2,0,Liberal,1
596787864,,,1,,,,,0,17,17,0,Liberal,1
249012894,,,1,,,,,0,0,0,0,Liberal,1
332063391,,,1,,,,,0,0,0,0,Liberal,1
1422563611696844806,,,1,,,,,0,0,0,0,Liberal,1
1445084795998982150,,,1,,,,,0,2,2,0,Liberal,1
54837922,,,1,,,,,0,2,2,0,Liberal,1
1417920499464687623,,,1,,,,,0,2,2,0,Liberal,1
3312452261,,,1,,,,,0,0,0,0,Liberal,1
2435064488,,,1,,,,,0,0,0,0,Liberal,1
1031340716,,,1,,,,,0,0,0,0,Liberal,1
3434857138,,,1,,,,,0,2,2,0,Liberal,1
81470134,,,1,,,,,0,0,0,0,Liberal,1
38937272,,,1,,,,,0,0,0,0,Liberal,1
12804792,,,1,,,,,0,2,2,0,Liberal,1
1409159409134096395,,,1,,,,,0,0,0,0,Liberal,1
1166197440,,,1,,,,,0,2,2,0,Liberal,1
2684150467,,,1,,,,,0,2,2,0,Liberal,1
407372483,,,1,,,,,0,2,2,0,Liberal,1
55468747,,,1,,,,,0,0,0,0,Liberal,1
1269990092,,,1,,,,,0,0,0,0,Liberal,1
110396108,,,1,,,,,0,0,0,0,Liberal,1
74883793,,,1,,,,,0,0,0,0,Liberal,1
16958167,,,1,,,,,0,0,0,0,Liberal,1
817636056,,,1,,,,,0,0,0,0,Liberal,1
483451607,,,1,,,,,0,0,0,0,Liberal,1
2846663385,,,1,,,,,0,0,0,0,Liberal,1
3314500315,,,1,,,,,0,0,0,0,Liberal,1
743891682,,,1,,,,,0,0,0,0,Liberal,1
2875818725,,,1,,,,,0,0,0,0,Liberal,1
446268135,,,1,,,,,0,2,2,0,Liberal,1
860021480,,,1,,,,,0,0,0,0,Liberal,1
2321539819,,,1,,,,,0,4,4,0,Liberal,1
16892654,,,1,,,,,0,0,0,0,Liberal,1
197477112,,,1,,,,,0,0,0,0,Liberal,1
387818233,,,1,,,,,0,0,0,0,Liberal,1
232446981,,,1,,,,,0,0,0,0,Liberal,1
2297823997,,,1,,,,,0,0,0,0,Liberal,1
22233855,,,1,,,,,0,0,0,0,Liberal,1
