Id,Label,timeset,twittername,first name,last name,political affiliation,influence,betweenness_centrality,communityid,out_degree_centrality,in_degree_centrality,polygon
40550119,,,Carolyn_Bennett,Carolyn,Bennett,Liberal,0.150814,1614482.485238,1,0.000894,0.021557,6
2800741820,,,trudel_denis,Denis,Trudel,Bloc Québécois,0.072978,284271.951189,4,0,0.011951,6
417389780,,,Chris_Bittle,Chris,Bittle,Liberal,0.101565,1143796.482785,1,0.000112,0.016531,6
714340176,,,ValBradford_,Valerie,Bradford,Liberal,0.037215,356374.513621,1,0,0.00659,6
2937436849,,,Shaun_Chen,Shaun,Chen,Liberal,0.027888,90807.482241,1,0,0.002122,6
272250877,,,PaulChiangMU,Paul,Chiang,Liberal,0.058532,449454.521953,1,0,0.0086,6
803381983,,,Alduceppe,Alexis,Brunelle-Duceppe,Bloc Québécois,0.033009,66585.712802,4,0.000112,0.006031,6
382949896,,,juliedabrusin,Julie,Dabrusin,Liberal,0.022872,173107.758346,1,0,0.003463,6
205786669,,,PamDamoff,Pam,Damoff,Liberal,0.070331,1012661.827919,1,0.000335,0.01318,6
1406573892,,,handongontario,Han,Dong,Liberal,0.012405,68204.776672,1,0,0.001564,6
743129088,,,Francis_Drouin,Francis,Drouin,Liberal,0.005815,8966.454762,1,0,0.000335,6
271073165,,,KirstyDuncanEN,Kirsty,Duncan,Liberal,0.031788,118099.936831,1,0,0.002569,6
1942107584,,,JulieDzerowicz,Julie,Dzerowicz,Liberal,0.091099,643065.032032,1,0,0.01385,6
1895316878,,,AliEhsassi,Ali,Ehsassi,Liberal,0.027911,147504.585893,1,0,0.003798,6
4269886099,,,PeterFonsecaMP,Peter,Fonseca,Liberal,0.004652,1,20,0,0.000223,6
631988630,,,MonaFortier,Mona,Fortier,Liberal,0.161248,352477.254002,1,0,0.008377,6
1957288050,,,GaryAVidal,Gary,Vidal,Conservative,0.022096,289576.107803,3,0.000223,0.004803,6
593944500,,,pfragiskatos,Peter,Fragiskatos,Liberal,0.047294,314929.542913,1,0,0.005361,6
1381435843492085760,,,IqwinderSGaheer,Iqwinder,Gaheer,Liberal,0.046131,467670.890486,1,0,0.009159,6
61521038,,,karinagould,Karina,Gould,Liberal,0.090343,1063782.916937,1,0.000112,0.016419,6
360677740,,,lisahepfner2021,Lisa,Hepfner,Liberal,0.05117,409732.486339,1,0.000112,0.008042,6
85428184,,,markhollandlib,Mark,Holland,Liberal,0.038765,471860.67285,1,0,0.007595,6
2891740872,,,HonAhmedHussen,Ahmed,Hussen,Liberal,0.100984,826485.025973,1,0.000335,0.013068,6
47338701,,,MarciIen,Marci,Ien,Liberal,0.126394,1378890.35017,1,0,0.021445,6
290162716,,,HelenaJaczek,Helena,Jaczek,Liberal,0.008141,35988.954746,1,0,0.000782,6
2229187188,,,MajidJowhari,Majid,Jowhari,Liberal,0.020158,110593.9258,1,0.000112,0.001787,6
58319221,,,iamIqraKhalid,Iqra,Khalid,Liberal,0.041091,251438.441479,1,0,0.00525,6
274507495,,,Irek_K,Irek,Kusmierczyk,Liberal,0.043805,251944.928242,1,0,0.005585,6
417524720,,,mflalonde,Marie-France,Lalonde,Liberal,0.065126,384269.673691,1,0,0.007484,6
1626700808,,,cathayw,Cathay,Wagantall,Conservative,0.00659,17898.447237,3,0,0.000558,6
415774799,,,VivianeLapointe,Viviane,LaPointe,Liberal,0.015937,93302.768902,1,0.000112,0.001787,6
579377522,,,LloydLongfield,Lloyd,Longfield,Liberal,0.037565,137560.41687,1,0.000112,0.002792,6
2678072299,,,TimLouisKitCon,Tim,Louis,Liberal,0.052906,245973.84944,1,0,0.005138,6
32915303,,,j_maloney,James,Maloney,Liberal,0.008528,36163.52367,1,0,0.001005,6
52080359,,,_BryanMay,Bryan,May,Liberal,0.020158,79720.971802,1,0,0.002122,6
245954929,,,JohnMcKayLib,John,McKay,Liberal,0.010467,53926.295649,1,0,0.001117,6
86384661,,,Yasir_Naqvi,Yasir,Naqvi,Liberal,0.084896,751967.794038,1,0,0.014744,6
29754743,,,mary_ng,Mary,Ng,Liberal,0.131763,1750975.853842,1,0.000335,0.023791,6
2983179809,,,JenOConnell_,Jennifer,O'Connell,Liberal,0.021709,71836.440344,1,0.000112,0.003239,6
1203545123356839936,,,MarcusPowlowski,Marcus,Powlowski,Liberal,0.023259,144817.687369,1,0,0.005473,6
170377354,,,AnthonyRota,Anthony,Rota,Liberal,0.006978,9202.587063,1,0,0.000558,6
2332742508,,,YaaraSaks,Ya'ara,Saks,Liberal,0.02892,154392.88095,1,0.000112,0.003686,6
159655782,,,MarcSerreMP,Marc,Serré,Liberal,0.023647,147590.958873,1,0,0.002792,6
3320613061,,,KevinWaugh_CPC,Kevin,Waugh,Conservative,0.007753,31902.271136,3,0,0.00067,6
1390883714,,,JudySgroMP,Judy A.,Sgro,Liberal,0.013956,274692.972884,1,0,0.002346,6
3363252329,,,TerrySheehanMP,Terry,Sheehan,Liberal,0.01977,68313.271351,1,0,0.003574,6
1143342270399373313,,,MSidhuLiberal,Maninder,Sidhu,Liberal,0.023259,53678.203516,1,0.000112,0.002457,6
3188558830,,,SoniaLiberal,Sonia,Sidhu,Liberal,0.084431,628690.008474,1,0.000223,0.012063,6
272185225,,,fsorbara,Francesco,Sorbara,Liberal,-0.159229,755256.101937,1,0.000112,0.01318,6
282526718,,,SvenTrueNorth,Sven,Spengemann,Liberal,0.055396,435674.906923,1,0,0.007595,6
2352629420,,,JennaSudds,Jenna,Sudds,Liberal,0.114358,1087397.013054,1,0,0.021222,6
4026045455,,,FilomenaTassi,Filomena,Tassi,Liberal,0.05745,299426.051024,1,0.000112,0.006143,6
1144289639924207616,,,Leah_Taylor_Roy,Leah,Taylor Roy,Liberal,0.034501,317146.332091,1,0.000447,0.006813,6
1427258589077508100,,,rechievaldez,Rechie,Valdez,Liberal,0.020933,80724.579389,1,0.000223,0.002346,6
19634262,,,TonyVanBynen,Tony,Van Bynen,Liberal,0.035238,147351.710173,1,0,0.003463,6
43510607,,,anitavandenbeld,Anita,Vandenbeld,Liberal,0.010079,50389.358759,1,0.00067,0.001117,6
524557553,,,viraniarif,Arif,Virani,Liberal,0.050325,345801.153105,1,0,0.00726,6
2513973205,,,JeanYip3,Jean,Yip,Liberal,0.048241,245714.715749,1,0.000112,0.00659,6
2344419362,,,SalmaZahid15,Salma,Zahid,Liberal,0.050162,484145.41918,1,0.000335,0.008377,6
256775505,,,SeanCaseyLPC,Sean,Casey,Liberal,0.010467,51363.824534,1,0.000112,0.001229,6
493488747,,,L_MacAulay,Lawrence,MacAulay,Liberal,0.025197,116733.714283,1,0,0.001899,6
1382336580518621186,,,ElisabethBriere,Élisabeth,Brière,Liberal,0.027623,29122.048784,1,0.000112,0.001229,6
780323935,,,SophieChatel1,Sophie,Chatel,Liberal,0.016834,82674.957643,1,0.000112,0.002122,6
868245382148521984,,,PatriciaLattan3,Patricia,Lattanzio,Liberal,0.010079,28317.206235,1,0,0.001229,6
1170770038208565248,,,AnnieKoutrakis,Annie,Koutrakis,Liberal,0.038959,257934.549647,1,0,0.005138,6
339752726,,,PascaleStOnge_,Pascale,St-Onge,Liberal,0.013834,53061.637472,1,0.000447,0.001899,6
132763075,,,SorayaMartinezF,Soraya,Martinez Ferrada,Liberal,0.003877,0,1,0.000112,0,6
200100603,,,ScarpaleggiaLSL,Francis,Scarpaleggia,Liberal,,,,,,6
16014404,,,sbergeron,Stéphane,Bergeron,Bloc Québécois,0.078522,255072.588278,4,0.000447,0.008154,6
249221867,,,AlexandraBrStL,Alexandra,Mendès,Liberal,0.010854,97614.675481,1,0.000223,0.001787,6
3187763194,,,stephanelauzon5,Stéphane,Lauzon,Liberal,0.004264,1021.639474,1,0.000112,0.000112,6
1881004363,,,EmmanuelDubourg,Emmanuel,Dubourg,Liberal,,,,,,6
2942312619,,,YRobillardPLC,Yves,Robillard,Liberal,0.004264,0,1,0,0.000112,6
165812196,,,stevenmackinnon,Steven,MacKinnon,Liberal,0.006629,19168.935955,1,0,0.000558,6
488052222,,,SherryRomanado,Sherry,Romanado,Liberal,0.01946,113357.74938,1,0.000223,0.003127,6
283226685,,,RachelBendayan,Rachel,Bendayan,Liberal,0.133625,934580.097517,1,0,0.016754,6
2874772780,,,adhillonDLL,Anju,Dhillon,Liberal,0.009304,10218.126033,1,0,0.000782,6
45848808,,,GregFergus,Greg,Fergus,Liberal,0.052048,472954.995929,1,0.000782,0.00793,6
1646334073,,,AHousefather,Anthony,Housefather,Liberal,0.081758,755861.311053,1,0.000112,0.013962,6
1360838234,,,DavidLametti,David,Lametti,Liberal,0.031012,175673.685617,1,0,0.004803,6
2242940071,,,pablorodriguez,Pablo,Rodriguez,Liberal,0.052918,128323.516537,1,0,0.003686,6
3142614406,,,DiLebouthillier,Diane,Lebouthillier,Liberal,0.004264,0,1,0,0.000112,6
2848993491,,,jyduclos,Jean-Yves,Duclos,Liberal,0.083174,235486.919785,1,0,0.005473,6
276713213,,,s_guilbeault,Steven,Guilbeault,Liberal,0.073438,350790.347259,1,0.000223,0.007819,6
911471588,,,mclaudebibeau,Marie-Claude,Bibeau,Liberal,0.016335,31372.628956,1,0,0.001452,6
1707636642,,,FP_Champagne,François-Philippe,Champagne,Liberal,0.198697,2610868.386972,1,0.000112,0.024684,6
1424828295309402117,,,drbrendanhanley,Brendan,Hanley,Liberal,0.004652,1,21,0,0.000223,6
175259033,,,taylorbachrach,Taylor,Bachrach,NDP,0.072382,514427.847042,2,0,0.006702,6
121343164,,,RABlaney,Rachel,Blaney,NDP,0.007365,36356.180049,2,0,0.001005,6
814078628,,,CanningsNDP,Richard,Cannings,NDP,0.015118,70762.911212,2,0,0.002234,6
266855812,,,r_garrison,Randall,Garrison,NDP,0.043417,909183.226472,2,0,0.011058,6
341866567,,,LoriIdlout,Lori,Idlout,NDP,0.067469,427064.839068,2,0.000223,0.007484,6
215632349,,,CharlieAngusNDP,Charlie,Angus,NDP,0.245437,4958323.6578,2,0.000335,0.04222,6
17823761,,,MatthewGreenNDP,Matthew,Green,NDP,0.103116,1516333.907811,2,0,0.021892,6
