Source,Target
1447919727595200522,1063494232126689280
1447763085813485572,1063494232126689280
1447729299155476480,1063494232126689280
1447709785927847937,1063494232126689280
1447661959575482369,1063494232126689280
1447659437959880706,1063494232126689280
1447656026791202817,1063494232126689280
1447655654328619012,1063494232126689280
1447655379727536133,1063494232126689280
1447647106035032077,1063494232126689280
1447644658453123084,1063494232126689280
1447641214967328774,1063494232126689280
1447637048987357186,1063494232126689280
1447636941533552646,1063494232126689280
1447581084137492486,1063494232126689280
1447581082505949186,1063494232126689280
1447581081432207363,1063494232126689280
1447213601006276608,1063494232126689280
1446838316654120960,1063494232126689280
1446330633341620224,1063494232126689280
1445795611865874435,1063494232126689280
1445610483722059786,1063494232126689280
1445543252342444042,1063494232126689280
1444727005069578241,1063494232126689280
1444709490226520069,1063494232126689280
1444678069986398217,1063494232126689280
1444673140207013889,1063494232126689280
1444464343882600448,1063494232126689280
1444291273519734785,1063494232126689280
1444282481725906946,1063494232126689280
1444095694801883138,1063494232126689280
1442259682630914052,1063494232126689280
1442251335257182210,1063494232126689280
1442206828058787841,1063494232126689280
1442203482077888513,1063494232126689280
1442200067918663683,1063494232126689280
1442192543249154055,1063494232126689280
1442158701528457219,1063494232126689280
1442153191811031041,1063494232126689280
1441793916144168961,1063494232126689280
1441777867621158926,1063494232126689280
1441066445383819267,1063494232126689280
1441066303146512397,1063494232126689280
1440995733377884161,1063494232126689280
1440810834737844231,1063494232126689280
1440808124449890312,1063494232126689280
1440777647190011907,1063494232126689280
1440487199674290189,1063494232126689280
1440454299331350533,1063494232126689280
1440400417578311687,1063494232126689280
1440368527077097481,1063494232126689280
1440367678540054535,1063494232126689280
1440352330356957196,1063494232126689280
1440224506069405697,1063494232126689280
1440173646236971016,1063494232126689280
1440173329776668677,1063494232126689280
1440173176193884164,1063494232126689280
1440173000926531584,1063494232126689280
1440172609568608262,1063494232126689280
1440172380677029898,1063494232126689280
1440170011402784774,1063494232126689280
1440169607411634187,1063494232126689280
1440169355304583176,1063494232126689280
1440168906446893059,1063494232126689280
1440168456024821763,1063494232126689280
1440167971280744453,1063494232126689280
1440159101204385799,1063494232126689280
1440158460218265612,1063494232126689280
1440158284342693897,1063494232126689280
1440151000539549702,1063494232126689280
1440146939853430785,1063494232126689280
1440146546406817794,1063494232126689280
1440146339161993216,1063494232126689280
1440072260300070912,1063494232126689280
1439995766429437957,1063494232126689280
1449001692339519523,335361064
1448833781268373506,335361064
1448044157373755398,335361064
1447549181372076033,335361064
1446611357034549251,335361064
1446569446454276098,335361064
1446569184712957956,335361064
1446211732309958661,335361064
1445501609253818376,335361064
1445439046415749124,335361064
1443754341026959367,335361064
1443012336793620489,335361064
1442113375056453635,335361064
1441399898486677515,335361064
1441114464862965773,335361064
1441089812736274433,335361064
1441063979305013248,335361064
1441049455801692170,335361064
1440850555321024516,335361064
1440332738393829392,335361064
1440332033616596993,335361064
1440331844667404290,335361064
1440014133165006851,335361064
1449040321464070152,1125543746697924609
1447952936382906368,1125543746697924609
1447654744126861315,1125543746697924609
1447532828636422144,1125543746697924609
1447233920056107015,1125543746697924609
1446587582574436357,1125543746697924609
1446488639362453508,1125543746697924609
1446099961448443910,1125543746697924609
1445753246082080769,1125543746697924609
1445011400364109824,1125543746697924609
1443907057019539457,1125543746697924609
1443683741520564242,1125543746697924609
1443250467228852226,1125543746697924609
1442622579919966208,1125543746697924609
1442565575272697860,1125543746697924609
1442524934081765377,1125543746697924609
1441876054654824453,1125543746697924609
1441844361298268162,1125543746697924609
1441513748582199298,1125543746697924609
1441454607759130631,1125543746697924609
1440866851823644673,1125543746697924609
1440776980585086981,1125543746697924609
1440133716911738880,1125543746697924609
1440112626206486529,1125543746697924609
1440053337194258433,1125543746697924609
1440016705825214465,1125543746697924609
1439974792246005760,1125543746697924609
1439925687318626306,1125543746697924609
1449111171903070211,25127782
1449026030178607108,25127782
1448767394357264409,25127782
1448751725620473861,25127782
1448722046498721792,25127782
1448661133045297159,25127782
1448396887787294721,25127782
1448374238981787650,25127782
1448362780168388608,25127782
1448359862698610690,25127782
1448355256161628163,25127782
1448354783266435076,25127782
1448353847483650048,25127782
1448293706122006536,25127782
1448082312290312197,25127782
1448065043577274370,25127782
1448064993790881798,25127782
1448063438954057729,25127782
1448063077837012992,25127782
1448062007748415491,25127782
1448060909436354565,25127782
1448058271550435331,25127782
1448055260581285889,25127782
1448046837588381699,25127782
1447972310749630469,25127782
1447635624165617665,25127782
1447590321790017539,25127782
1447558867475435521,25127782
1447269753349808129,25127782
