Source,Target
2693735376,Bloc Québécois
3578717895,Bloc Québécois
1212150302788345857,Bloc Québécois
1251518605600206850,Bloc Québécois
598641595,Bloc Québécois
4623339465,Bloc Québécois
1009785173011988480,Bloc Québécois
92821882,Bloc Québécois
1279885961841819649,Bloc Québécois
2693735376,Bloc Québécois
598641595,Bloc Québécois
307572043,Bloc Québécois
2369459569,Bloc Québécois
110475311,Bloc Québécois
864457447062351873,Bloc Québécois
922605476424048640,Bloc Québécois
2828630539,Bloc Québécois
912006790493212672,Bloc Québécois
1066847336050147329,Bloc Québécois
110475311,Bloc Québécois
152012918,Bloc Québécois
506816322,Bloc Québécois
1364969404132446218,Bloc Québécois
2191882972,Bloc Québécois
2439166100,Bloc Québécois
105372011,Bloc Québécois
2693735376,Bloc Québécois
195049872,Bloc Québécois
2797134487,Bloc Québécois
252905412,Bloc Québécois
2397249467,Bloc Québécois
479088229,Bloc Québécois
282149727,Bloc Québécois
2693735376,Bloc Québécois
747064303,Bloc Québécois
2693735376,Bloc Québécois
1009785173011988480,Bloc Québécois
479088229,Bloc Québécois
1066847336050147329,Bloc Québécois
803381983,Bloc Québécois
1280337364993429504,Bloc Québécois
479088229,Bloc Québécois
165100373,Bloc Québécois
2975160689,Bloc Québécois
197607704,Bloc Québécois
1398407226,Bloc Québécois
2693735376,Bloc Québécois
16272844,Liberal
3163148070,Liberal
16272844,Liberal
16272844,Liberal
16272844,Liberal
1446352422272528385,Liberal
16272844,Liberal
16272844,Liberal
567138931,Liberal
16272844,Liberal
16272844,Liberal
16272844,Liberal
16272844,Liberal
1222274097935073281,Liberal
16272844,Liberal
89505108,Liberal
339273624,Liberal
17688080,Liberal
838084501553221634,Liberal
1334535386559746048,Liberal
16272844,Liberal
776246636,Liberal
450075824,Liberal
776246636,Liberal
1209617399739080704,Liberal
3163148070,Liberal
1222274097935073281,Liberal
1442911147456282624,Liberal
16272844,Liberal
1307948858010267648,Liberal
16272844,Liberal
16272844,Liberal
16272844,Liberal
16272844,Liberal
16272844,Liberal
1222274097935073281,Liberal
16272844,Liberal
1222274097935073281,Liberal
398455202,Liberal
63606251,Liberal
16272844,Liberal
1222274097935073281,Liberal
16272844,Liberal
1223950760,Liberal
1295041264220540929,Liberal
1222274097935073281,Liberal
938449472715026433,Liberal
385678932,Liberal
494259870,Liberal
1426726511583932416,Liberal
291336460,Liberal
2978651261,Liberal
425710711,Liberal
1636677512,Liberal
3237987454,Liberal
609432652,Liberal
722527003,Liberal
378860765,Liberal
1696849597,Liberal
3145959239,Liberal
1706203484,Liberal
214492262,Liberal
154311944,Liberal
16272844,Liberal
1222274097935073281,Liberal
16272844,Liberal
2339733614,Liberal
1035959701,Liberal
16272844,Liberal
16272844,Liberal
16272844,Liberal
32659679,Liberal
3093802429,Liberal
16272844,Liberal
16272844,Liberal
16272844,Liberal
72095672,Liberal
27068599,Liberal
206220968,Liberal
21665234,Liberal
265419095,Liberal
285771480,Liberal
751323004081143808,Liberal
492468946,Liberal
2978018901,Liberal
1362830506077786118,Liberal
54034509,Bloc Québécois
2506299709,Bloc Québécois
896911058459340800,Bloc Québécois
4834905915,Bloc Québécois
3948995117,Bloc Québécois
161552398,Bloc Québécois
578590553,Bloc Québécois
1066847336050147329,Bloc Québécois
129863114,Bloc Québécois
1342848846,Bloc Québécois
4834905915,Bloc Québécois
1252621477674921985,Bloc Québécois
1294756234374111236,Bloc Québécois
896523848,Bloc Québécois
2377760095,Bloc Québécois
2181094165,Bloc Québécois
3948995117,Bloc Québécois
161552398,Bloc Québécois
578590553,Bloc Québécois
262305830,Bloc Québécois
1066847336050147329,Bloc Québécois
129863114,Bloc Québécois
1342848846,Bloc Québécois
4834905915,Bloc Québécois
568429780,Bloc Québécois
1294756234374111236,Bloc Québécois
896523848,Bloc Québécois
2377760095,Bloc Québécois
896874095106826240,Bloc Québécois
3948995117,Bloc Québécois
229570590,Bloc Québécois
763991641,Bloc Québécois
578590553,Bloc Québécois
1211653933875089408,Bloc Québécois
1066847336050147329,Bloc Québécois
1439240496921161733,Bloc Québécois
129863114,Bloc Québécois
1440664285210767367,Bloc Québécois
1401765171601850373,Bloc Québécois
1342848846,Bloc Québécois
4834905915,Bloc Québécois
562762571,Bloc Québécois
1326481061296082945,Bloc Québécois
1009785173011988480,Bloc Québécois
580978766,Bloc Québécois
2693735376,Bloc Québécois
568429780,Bloc Québécois
599677550,Bloc Québécois
1349200706037805057,Bloc Québécois
276093811,Bloc Québécois
1294756234374111236,Bloc Québécois
896523848,Bloc Québécois
2377760095,Bloc Québécois
797430894,Bloc Québécois
2377760095,Bloc Québécois
195049872,Bloc Québécois
1066847336050147329,Bloc Québécois
1428915745933742082,Bloc Québécois
1707025764,Bloc Québécois
2975160689,Bloc Québécois
768306276,Bloc Québécois
1440532151582134272,Bloc Québécois
708387548859604992,Bloc Québécois
1738057094,Bloc Québécois
1428915745933742082,Bloc Québécois
2377760095,Bloc Québécois
121477706,Bloc Québécois
94045996,Bloc Québécois
1241360253960237057,Bloc Québécois
4623339465,Bloc Québécois
532739227,Bloc Québécois
754319153951944704,Bloc Québécois
2403281177,Bloc Québécois
240364410,Bloc Québécois
1268197814,Bloc Québécois
506618878,Bloc Québécois
129863114,Bloc Québécois
1337859846385889283,Bloc Québécois
1251518605600206850,Bloc Québécois
873256308660719617,Bloc Québécois
1426123212220424193,Bloc Québécois
12220452,Bloc Québécois
97904065,Bloc Québécois
506816322,Bloc Québécois
580978766,Bloc Québécois
72950055,Bloc Québécois
832055013467889664,Bloc Québécois
280223998,Bloc Québécois
1401765171601850373,Bloc Québécois
1040405782402084864,Bloc Québécois
259067553,Bloc Québécois
161748431,Bloc Québécois
142889852,Bloc Québécois
1372521854632611843,Bloc Québécois
303922812,Bloc Québécois
122999764,Bloc Québécois
568429780,Bloc Québécois
3433719760,Bloc Québécois
105975090,Bloc Québécois
213469437,Bloc Québécois
134876261,Bloc Québécois
1113612686783283200,Bloc Québécois
2382402638,Bloc Québécois
2801095093,Bloc Québécois
892064864,Bloc Québécois
115587493,Bloc Québécois
105106236,Bloc Québécois
1165944978,Bloc Québécois
1440664285210767367,Bloc Québécois
598641595,Bloc Québécois
776856139,Bloc Québécois
792139214,Bloc Québécois
2995187879,Bloc Québécois
3290638083,Bloc Québécois
80034004,Bloc Québécois
1090055713462865925,Bloc Québécois
1939552088,Bloc Québécois
4834905915,Bloc Québécois
129316450,Bloc Québécois
1325446172,Bloc Québécois
1437734637531504644,Bloc Québécois
2986879348,Bloc Québécois
1012178620209606656,Bloc Québécois
578590553,Bloc Québécois
1440532151582134272,Bloc Québécois
1426651135582998531,Bloc Québécois
437853191,Bloc Québécois
2693735376,Bloc Québécois
361881477,Bloc Québécois
630583335,Bloc Québécois
1287451187860639744,Bloc Québécois
718235089562419201,Bloc Québécois
998328097,Bloc Québécois
3015024748,Bloc Québécois
313250205,Bloc Québécois
817873908779073536,Bloc Québécois
109567991,Bloc Québécois
1402679875631190017,Bloc Québécois
280064371,Bloc Québécois
996200380013916160,Bloc Québécois
557289715,Bloc Québécois
1325684365,Bloc Québécois
262305830,Bloc Québécois
446272806,Bloc Québécois
2369459569,Bloc Québécois
110475311,Bloc Québécois
768306276,Bloc Québécois
1342848846,Bloc Québécois
2398652172,Bloc Québécois
16450356,Bloc Québécois
3082900265,Bloc Québécois
896523848,Bloc Québécois
1058174548837888000,Bloc Québécois
1131717785648807937,Bloc Québécois
131317072,Bloc Québécois
1440664285210767367,Bloc Québécois
329810452,Bloc Québécois
195684533,Bloc Québécois
1440532151582134272,Bloc Québécois
1100840274136363009,Bloc Québécois
122999764,Bloc Québécois
215423949,Bloc Québécois
998328097,Bloc Québécois
2275886439,Bloc Québécois
1939552088,Bloc Québécois
2693735376,Bloc Québécois
633211148,Bloc Québécois
896523848,Bloc Québécois
280064371,Bloc Québécois
588746667,Bloc Québécois
1707025764,Bloc Québécois
479088229,Bloc Québécois
2693735376,Bloc Québécois
1312209568047431680,Bloc Québécois
768306276,Bloc Québécois
1439240496921161733,Bloc Québécois
141667494,Bloc Québécois
792139214,Bloc Québécois
4834905915,Bloc Québécois
599677550,Bloc Québécois
95982820,Bloc Québécois
1053324714427465728,Bloc Québécois
183734792,Bloc Québécois
2218170768,Bloc Québécois
2369459569,Bloc Québécois
982359026410209280,Bloc Québécois
17721863,Bloc Québécois
864457447062351873,Bloc Québécois
1125543746697924609,Bloc Québécois
1279885961841819649,Bloc Québécois
479088229,Bloc Québécois
92821882,Bloc Québécois
2369459569,Bloc Québécois
776856139,Bloc Québécois
280064371,Bloc Québécois
97904065,Bloc Québécois
568429780,Bloc Québécois
939043270549577728,Bloc Québécois
479088229,Bloc Québécois
4623339465,Bloc Québécois
165100373,Bloc Québécois
599677550,Bloc Québécois
1045428236392517632,Bloc Québécois
2693735376,Bloc Québécois
134876261,Bloc Québécois
1279885961841819649,Bloc Québécois
2323834254,Bloc Québécois
1009785173011988480,Bloc Québécois
161552398,Bloc Québécois
896911058459340800,Bloc Québécois
97904065,Bloc Québécois
134876261,Bloc Québécois
600234980,Bloc Québécois
2506299709,Bloc Québécois
134876261,Bloc Québécois
115587493,Bloc Québécois
134876261,Bloc Québécois
2506299709,Bloc Québécois
115587493,Bloc Québécois
134876261,Bloc Québécois
2506299709,Bloc Québécois
115587493,Bloc Québécois
479088229,Bloc Québécois
134876261,Bloc Québécois
2506299709,Bloc Québécois
134876261,Bloc Québécois
2506299709,Bloc Québécois
115587493,Bloc Québécois
600234980,Bloc Québécois
134876261,Bloc Québécois
2506299709,Bloc Québécois
2506299709,Bloc Québécois
892064864,Bloc Québécois
2506299709,Bloc Québécois
2369459569,Bloc Québécois
600234980,Bloc Québécois
600234980,Bloc Québécois
2506299709,Bloc Québécois
479088229,Bloc Québécois
1249029070886666240,Bloc Québécois
1113612686783283200,Bloc Québécois
446272806,Bloc Québécois
1939552088,Bloc Québécois
1423390095562915849,Bloc Québécois
1009785173011988480,Bloc Québécois
2693735376,Bloc Québécois
1312209568047431680,Bloc Québécois
1131717785648807937,Bloc Québécois
197607704,Bloc Québécois
53154833,Bloc Québécois
1058174548837888000,Bloc Québécois
110475311,Bloc Québécois
2253103676,Bloc Québécois
160482775,Bloc Québécois
105975090,Bloc Québécois
375844065,Bloc Québécois
1423390095562915849,Bloc Québécois
276093811,Bloc Québécois
40458169,Bloc Québécois
600234980,Bloc Québécois
375766773,Bloc Québécois
3865577362,Bloc Québécois
751852736,Bloc Québécois
1066847336050147329,Bloc Québécois
122144451,Bloc Québécois
129863114,Bloc Québécois
1009785173011988480,Bloc Québécois
2797134487,Bloc Québécois
776856139,Bloc Québécois
1423390095562915849,Bloc Québécois
122144451,Bloc Québécois
2693735376,Bloc Québécois
3578717895,Bloc Québécois
2693735376,Bloc Québécois
2801095093,Bloc Québécois
479088229,Bloc Québécois
2797134487,Bloc Québécois
280064371,Bloc Québécois
2897430250,Bloc Québécois
3305902695,Bloc Québécois
156487702,Bloc Québécois
22224381,Bloc Québécois
797430894,Bloc Québécois
1251518605600206850,Bloc Québécois
122144451,Bloc Québécois
280064371,Bloc Québécois
541177087,Bloc Québécois
475302173,Bloc Québécois
1279885961841819649,Bloc Québécois
105975090,Bloc Québécois
2693735376,Bloc Québécois
1251518605600206850,Bloc Québécois
195049872,Bloc Québécois
165100373,Bloc Québécois
892064864,Bloc Québécois
2975160689,Bloc Québécois
776856139,Bloc Québécois
122144451,Bloc Québécois
160681232,Bloc Québécois
2828630539,Bloc Québécois
4890216305,Bloc Québécois
1045428236392517632,Bloc Québécois
598641595,Bloc Québécois
1423390095562915849,Bloc Québécois
38262290,Bloc Québécois
2693735376,Bloc Québécois
1090055713462865925,Bloc Québécois
552741734,Bloc Québécois
2797134487,Bloc Québécois
242506295,Bloc Québécois
105975090,Bloc Québécois
612528061,Bloc Québécois
842803114931634176,Bloc Québécois
598641595,Bloc Québécois
2506299709,Bloc Québécois
313250205,Bloc Québécois
215423949,Bloc Québécois
585844501,Bloc Québécois
914440993574932481,Bloc Québécois
1440664285210767367,Bloc Québécois
136778379,Bloc Québécois
1238214998838697984,Bloc Québécois
914192046080053248,Bloc Québécois
861231222,Bloc Québécois
600234980,Bloc Québécois
2693735376,Bloc Québécois
797430894,Bloc Québécois
1310206245631078400,Bloc Québécois
2742743778,Bloc Québécois
2854830300,Bloc Québécois
3095525964,Bloc Québécois
479088229,Bloc Québécois
282149727,Bloc Québécois
446272806,Bloc Québécois
