id,community
66621998,1
1643827760,1
16982577,1
382489139,1
3298660936,1
70750793,1
18719308,1
525857359,1
2814976597,1
1066840664,1
22446684,1
1249464937,1
571519594,1
1244435052,1
1242251887,1
1729880688,1
217485938,1
223523445,1
30270072,1
55976571,1
2651714172,1
213140093,1
722940787772641280,1
1354922263418523648,1
1044711566354960384,1
300049028,1
1243336421164732416,1
1357857933019598849,1
1124423281765797888,1
222249603,1
1064324514513702912,1
1347654502787076096,1
1428093463132655617,1
1393055510480441345,1
602083976,1
1176536298179284993,1
1438317451469541377,1
1390840055200108546,1
1399510991885455362,1
1416997300199641091,1
1446846657551683588,1
62292631,1
593891991,1
65208984,1
596787864,1
17355421,1
29586080,1
15049380,1
1545912997,1
297771685,1
373940903,1
44618408,1
7491592,1
233149098,1
33936046,1
15352498,1
4237648565,1
3400323767,1
516915897,1
168350399,1
119911112,1
305001163,1
2411078349,1
2253996751,1
509604564,1
3381908182,1
488067802,1
127369948,1
6013662,1
2968507103,1
629539554,1
353903334,1
39977710,1
3992965873,1
16638708,1
22971125,1
85349109,1
2271466230,1
167912183,1
1243323314652602368,1
753638148958216192,1
1200953266525200384,1
1362218598849208320,1
724952267162542080,1
1052290795942731777,1
52245251,1
778262568272027648,1
1390067256080621568,1
1265374201260564481,1
1332164996592066561,1
206017291,1
725731648017424385,1
242492168,1
1389668038593634306,1
838066498782519298,1
1362578567557701635,1
1405037853579436035,1
1430196796781912066,1
314127120,1
2533511951,1
1402352323851083779,1
1414597315344490499,1
403374868,1
1444511517379026948,1
5968662,1
163922710,1
1429513454491164676,1
1432002021398306821,1
215896862,1
83153695,1
2811765535,1
1371923720609095686,1
1412813687811760135,1
552891173,1
3071603495,1
9356072,1
1442259927779532808,1
382210860,1
2408260398,1
63476527,1
744559800877342730,1
2532815671,1
19198775,1
14517051,1
224600898,1
112767813,1
962073414,1
25178951,1
23491400,1
983448844041060352,1
57033548,1
22733645,1
1373991758,1
540672851,1
44962648,1
67662683,1
4273980252,1
431141725,1
878490462,1
2707780448,1
1419539298,1
3304522599,1
1082221,1
80380795,1
1373016955,1
25813888,1
1138564320390836224,1
1433922677681451008,1
1288197903719100416,1
1012692323669405696,1
839668692866723840,1
