id,communityid,Label,timeset,twittername,first name,last name,political affiliation,community
456361587,1,,,,,,,Liberal
2262304373,1,,,,,,,Liberal
2151229052,1,,,,,,,Liberal
190203516,1,,,,,,,Liberal
3395462782,1,,,,,,,Liberal
487917184,1,,,,,,,Liberal
1132367214944899072,1,,,,,,,Liberal
1013502080076664832,1,,,,,,,Liberal
986026786319421440,1,,,,,,,Liberal
1074411735065481216,1,,,,,,,Liberal
998370119561695232,1,,,,,,,Liberal
845318650877890560,1,,,,,,,Liberal
914740242233610240,1,,,,,,,Liberal
868647363342159872,1,,,,,,,Liberal
957024565150011393,1,,,,,,,Liberal
901958040831840257,1,,,,,,,Liberal
1117616102442455041,1,,,,,,,Liberal
921184805328441345,1,,,,,,,Liberal
865305435707985921,1,,,,,,,Liberal
904897416536707073,1,,,,,,,Liberal
17180296,1,,,,,,,Liberal
896617911921594370,1,,,,,,,Liberal
861416960164286466,1,,,,,,,Liberal
1105176913847439362,1,,,,,,,Liberal
984195114447851522,1,,,,,,,Liberal
1093522253873074179,1,,,,,,,Liberal
2452465303,1,,,,,,,Liberal
29935256,1,,,,,,,Liberal
225904281,1,,,,,,,Liberal
4966041,1,,,,,,,Liberal
2399159960,1,,,,,,,Liberal
366315170,1,,,,,,,Liberal
3278980771,1,,,,,,,Liberal
3303605923,1,,,,,,,Liberal
3248793252,1,,,,,,,Liberal
145647271,1,,,,,,,Liberal
2148927146,1,,,,,,,Liberal
2352629420,1,,,JennaSudds,Jenna,Sudds,Liberal,Liberal
1029020739133997056,1,,,,,,,Liberal
405153459,1,,,,,,,Liberal
532260535,1,,,,,,,Liberal
1051813561,1,,,,,,,Liberal
29583034,1,,,,,,,Liberal
336152251,1,,,,,,,Liberal
22570694,1,,,,,,,Liberal
1163536081,1,,,,,,,Liberal
23750353,1,,,,,,,Liberal
2913994456,1,,,,,,,Liberal
285771480,1,,,,,,,Liberal
127608538,1,,,,,,,Liberal
258000605,1,,,,,,,Liberal
4395312869,1,,,,,,,Liberal
859031269,1,,,,,,,Liberal
274507495,1,,,Irek_K,Irek,Kusmierczyk,Liberal,Liberal
18540267,1,,,,,,,Liberal
4292519659,1,,,,,,,Liberal
891064163480608768,1,,,,,,,Liberal
4867254005,1,,,,,,,Liberal
2813519606,1,,,,,,,Liberal
383035135,1,,,,,,,Liberal
1235012286219083776,1,,,,,,,Liberal
1213809900435857408,1,,,,,,,Liberal
1050507703821328384,1,,,,,,,Liberal
