,Source Comm Interaction Count,Target Comm Interaction Count,Id,Label,timeset,twittername,first name,last name,political affiliation,influence,betweenness_centrality,communityid,out_degree_centrality,in_degree_centrality,polygon,id,community
3917,0.0,,983448844041060352,,,,,,,0.0038770000000000002,33219.056969,2.0,0.000223,0.0,1,983448844041060352,NDP
3918,0.0,,1433922677681451008,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1433922677681451008,NDP
3919,0.0,,1288197903719100416,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1288197903719100416,NDP
3920,0.0,,1012692323669405696,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1012692323669405696,NDP
3921,0.0,,1070152726141497345,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1070152726141497345,NDP
3922,0.0,,766377865520775168,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,766377865520775168,NDP
3923,0.0,,1184184022177595392,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1184184022177595392,NDP
3924,0.0,,310425304,,,,,,,0.0038770000000000002,104876.08522899999,2.0,0.00044699999999999997,0.0,1,310425304,NDP
3925,0.0,,518010642,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,518010642,NDP
3926,0.0,,1021070140463443968,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1021070140463443968,NDP
3927,0.0,,1004371050216353793,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1004371050216353793,NDP
3928,0.0,,17536922,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,17536922,NDP
3929,0.0,,1670649775,,,,,,,0.0038770000000000002,7038.672,2.0,0.000223,0.0,1,1670649775,NDP
3930,0.0,,38287442,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,38287442,NDP
3931,0.0,,1338816625,,,,,,,0.0038770000000000002,3154.4901609999997,2.0,0.000223,0.0,1,1338816625,NDP
3932,0.0,,3096516728,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,3096516728,NDP
3933,0.0,,796243740293664768,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,796243740293664768,NDP
3934,0.0,,1418331827316527106,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1418331827316527106,NDP
3935,0.0,,66820511,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,66820511,NDP
3936,0.0,,1061613703588691968,,,,,,,0.0038770000000000002,0.0,2.0,0.00011200000000000001,0.0,1,1061613703588691968,NDP
