,0
393713239,0.0
1185972487538040832,0.0
889661863100907520,0.0
2813399220,0.0
2436061363,0.0
17900758,0.0
59686058,0.0
1009115210546929664,0.0
3148281878,0.0
1064964294448750595,0.0
814289414,0.0
2896012540,0.0
1280589273335500801,0.0
1227766472921014272,0.0
869639001400942592,0.0
116679707,0.0
342176065,0.0
1890389540,0.0
2785990732,0.0
40591485,0.0
3191905064,0.0
237536271,0.0
16982577,0.0
1563418116,0.0
2580573206,0.0
275979196,0.0
193471925,0.0
53772503,0.0
16195103,0.0
2776775090,0.0
998590102573023232,0.0
179129165,0.0
27101995,0.0
872156101,0.0
128908662,0.0
363070453,0.0
21221149,0.0
507802048,0.0
190231473,0.0
993705834470367232,0.0
1362286033,0.0
3079986094,0.0
17280115,0.0
274220538,0.0
25813888,88.0
51184630,0.0
108413104,0.0
908811901,0.0
408526152,0.0
371447080,0.0
2314531026,0.0
1172199939243425792,0.0
390392773,0.0
2289973748,0.0
495066576,0.0
1545053600,0.0
103297393,0.0
1851634098,0.0
398483708,0.0
1313212802799206406,0.0
79260190,0.0
27652488,0.0
89609585,0.0
44618408,0.0
880491635896922112,0.0
2761710808,0.0
1240867313445830656,0.0
247412217,0.0
1347654502787076096,0.0
982630470008553474,0.0
82167100,0.0
110754237,0.0
768069259100622848,0.0
177347829,0.0
1304210384367349770,0.0
1300291239581892609,0.0
2253903906,0.0
78403337,0.0
862703683,0.0
1071951545212723200,0.0
840470152391016448,0.0
498423001,0.0
1197522605760303104,0.0
510093784,0.0
447415943,0.0
1201788959719936007,0.0
1633538270,0.0
122525211,0.0
192842634,0.0
551152504,0.0
378351271,0.0
57033548,0.0
255067647,0.0
719557076599619584,0.0
980875592,0.0
1051100859831148544,0.0
2300474413,0.0
1238447220,0.0
994295935,0.0
838098877,0.0
829761553218072576,0.0
951280545421410305,0.0
1157684886,0.0
80970676,0.0
18923250,0.0
1136294664,0.0
951892305098788864,0.0
3010143902,0.0
297020666,0.0
1045793762063060992,0.0
98588419,0.0
76179144,0.0
46956207,0.0
819853925184638976,0.0
16552108,0.0
153515520,0.0
386330680,0.0
2736446758,0.0
35095520,0.0
1239564608941113347,0.0
58261480,0.0
169614697,0.0
1005522675761057792,0.0
816308397360508928,0.0
1407160205117435908,0.0
1175457080561537025,0.0
1011936943247101952,0.0
365078935,0.0
17540009,0.0
49660950,0.0
296549487,0.0
1228605451,0.0
1122706063466356737,0.0
234593598,0.0
1204301854433316866,0.0
1204430581410353154,0.0
893202244077854721,0.0
22971125,0.0
1193458951976869888,0.0
785853390,0.0
322106815,0.0
1957597519,0.0
1101092779378249729,0.0
3331826578,0.0
38720614,0.0
2912843536,0.0
183642459,0.0
2247495353,0.0
2748289416,0.0
2592210108,0.0
103701079,0.0
1352713370772770816,0.0
86410896,0.0
1038301598,0.0
1134248217472843787,0.0
999320625117196288,0.0
18390213,0.0
768295011007934469,0.0
1262878353431777280,0.0
729232479840800768,0.0
1415442622135603206,0.0
346123223,0.0
167912183,0.0
1076249609125675010,0.0
67793897,0.0
823096488,0.0
50154666,0.0
302593437,0.0
291862583,0.0
168371680,0.0
1251332171211644931,0.0
962073414,0.0
291523600,0.0
277085673,0.0
62664213,0.0
1337551744457469952,0.0
716460064039575552,0.0
3007815702,0.0
55819705,0.0
1404102585317986308,0.0
1280249212567818240,0.0
740981264740679681,0.0
247511435,0.0
1303772129847111681,0.0
1027307702047961088,0.0
1020156666204090368,0.0
38751529,0.0
718873385346797569,0.0
285806588,0.0
541129316,0.0
1655457050,0.0
57759275,0.0
824281652423753728,0.0
132015712,0.0
40647043,0.0
12992772,0.0
365132365,0.0
1129088815,0.0
1262268501823303680,0.0
288548798,0.0
87632735,0.0
40246161,0.0
1252686295,0.0
25333228,0.0
1093876945,0.0
1942350667,0.0
2863551224,0.0
1271987860577517568,0.0
626984632,0.0
237594523,0.0
300638343,0.0
739845530612830208,0.0
715244769,0.0
817207955930001409,0.0
1363561650624733184,0.0
212468225,0.0
2673432539,0.0
23601374,0.0
