,Id_Target,Id_Source,communityid_Target,communityid_Source,betweenness_centrality_Source,betweenness_centrality_Target
1995,24913022,540103190,2.0,1.0,184861.84582000002,1024576.2817719999
1996,24913022,552394700,2.0,1.0,105377.010507,1024576.2817719999
2007,24913022,1972656259,2.0,1.0,28150.908475,1024576.2817719999
2013,24913022,3098295646,2.0,1.0,124928.417476,1024576.2817719999
2021,24913022,963792240232488961,2.0,8.0,170983.674956,1024576.2817719999
2026,24913022,993705834470367232,2.0,1.0,107923.210803,1024576.2817719999
2043,24990450,12034642,4.0,3.0,210175.768781,595854.835476
2081,24990450,596787864,4.0,1.0,1321371.241195,595854.835476
2099,24990450,3313678069,4.0,2.0,141387.312382,595854.835476
2120,25127782,7922582,1.0,2.0,57984.70366,1420781.896899
2124,25127782,15677734,1.0,2.0,389040.22610100004,1420781.896899
2137,25127782,28395319,1.0,3.0,96412.302056,1420781.896899
2205,25127782,2263235551,1.0,3.0,105908.06779500001,1420781.896899
2270,25127782,1421131101922332672,1.0,3.0,230855.56496,1420781.896899
2280,25813888,63826204,1.0,2.0,62290.50103200001,380272.570942
2284,25813888,113754405,1.0,2.0,36613.060224,380272.570942
2309,25813888,1070588953105969152,1.0,5.0,11009.9399,380272.570942
2323,27079065,1446352422272528385,3.0,1.0,3781095.477936,16950.679977
2325,28804785,1446352422272528385,3.0,1.0,3781095.477936,4166.0385479999995
2338,29754743,16552108,1.0,2.0,79842.002792,1750975.8538419998
2603,35863342,214492262,2.0,1.0,315481.20705799997,392752.778996
2607,35863342,349391821,2.0,1.0,54502.239495,392752.778996
2614,35863342,552119609,2.0,1.0,13503.313182,392752.778996
2630,35863342,1291531291066798083,2.0,1.0,68609.968101,392752.778996
2643,36133644,47371589,3.0,1.0,146005.134131,1443832.511074
2652,36133644,92821882,3.0,4.0,117924.615839,1443832.511074
2674,36133644,491606159,3.0,4.0,3974.793111,1443832.511074
2684,36133644,733289617,3.0,4.0,21427.487731,1443832.511074
2699,36133644,1939332804,3.0,1.0,77388.51431299999,1443832.511074
2707,36133644,2727310657,3.0,5.0,128191.067054,1443832.511074
2708,36133644,2801095093,3.0,4.0,168429.238892,1443832.511074
