,Id_Target,Id_Source,communityid_Target,communityid_Source,betweenness_centrality_Source,betweenness_centrality_Target
9753,1707636642,246825072,1.0,3.0,38886.047713,2610868.386972
9757,1707636642,250414494,1.0,2.0,69751.254005,2610868.386972
9774,1707636642,376391827,1.0,2.0,176837.036423,2610868.386972
9795,1707636642,590165011,1.0,2.0,41415.960185,2610868.386972
9831,1707636642,2171336220,1.0,2.0,23069.782854,2610868.386972
9856,1707636642,3865577362,1.0,4.0,161236.514169,2610868.386972
10062,1899063048,15407637,1.0,2.0,17861.056373,791673.34661
10177,1942107584,15677734,1.0,2.0,389040.22610100004,643065.032032
10233,1942107584,1663428859,1.0,2.0,87863.823485,643065.032032
10281,1942107584,1149736385475207169,1.0,3.0,11625.907970999999,643065.032032
10304,1957288050,80728527,3.0,2.0,29236.93916,289576.107803
10337,1957288050,1415746394871189504,3.0,2.0,111886.493272,289576.107803
10342,1957288050,1446352422272528385,3.0,1.0,3781095.477936,289576.107803
10370,2149496034,1008987247616512000,3.0,4.0,55649.60312000001,313930.56426
10375,2149496034,1080742203633262592,3.0,4.0,5135.594386,313930.56426
10451,2249182471,1087983274402766848,12.0,1.0,154056.479874,124579.0
10490,2332742508,279679549,1.0,3.0,79374.418735,154392.88095
10491,2332742508,280677070,1.0,2.0,4988.256942,154392.88095
10541,2344419362,404349157,1.0,2.0,61485.944047000005,484145.41918
10566,2344419362,729194378779078656,1.0,2.0,1691.8115,484145.41918
10583,2344419362,1347272097786171394,1.0,2.0,1691.8115,484145.41918
10610,2352629420,56029187,1.0,2.0,10101.782589,1087397.013054
10639,2352629420,264439847,1.0,2.0,10101.782589,1087397.013054
10689,2352629420,1611758551,1.0,2.0,7283.801668000001,1087397.013054
10808,2513973205,1052848710,1.0,3.0,26994.793985000004,245714.71574899997
10859,2530008414,135000298,4.0,3.0,11482.692839,200041.822184
11013,2715275551,78429753,2.0,5.0,30306.343851999998,685312.997198
11045,2715275551,2434162616,2.0,1.0,1198768.934027,685312.997198
11060,2715275551,971857794826567680,2.0,1.0,61259.721246,685312.997198
11089,2733595406,1083738940199317504,3.0,1.0,25199.100675,80980.67283899999
11090,2733595406,1087983274402766848,3.0,1.0,154056.479874,80980.67283899999
11102,2800741820,86425142,4.0,3.0,27069.112035000002,284271.951189
11188,2800741820,1213189717425917953,4.0,6.0,25376.609542,284271.951189
11210,2848993491,232519990,1.0,2.0,15905.220404,235486.91978499998
11247,2848993491,1271509161717706760,1.0,2.0,6113.282381,235486.91978499998
11279,2852899113,250414494,1.0,2.0,69751.254005,683996.113796
11310,2852899113,2345872214,1.0,2.0,37546.030646,683996.113796
11399,2891740872,169268197,1.0,2.0,19979.176635,826485.025973
11432,2891740872,820394508,1.0,2.0,17688.044450999998,826485.025973
11486,2891740872,1297554634182209537,1.0,2.0,7722.538227,826485.025973
11489,2891740872,1335613030852386817,1.0,10.0,103680.07203,826485.025973
11602,3115495914,1446352422272528385,3.0,1.0,3781095.477936,88131.34765
11666,3188558830,728304522662043648,1.0,2.0,1736.667536,628690.008474
11698,3188558830,1251989186862866433,1.0,2.0,14017.642847,628690.008474
11771,3257047456,404349157,1.0,2.0,61485.944047000005,80422.517326
11806,3299711869,877347579180220417,8.0,2.0,34907.744872,238194.53961900002
11808,3299711869,1078044289454747648,8.0,1.0,29016.827093,238194.53961900002
11817,3320613061,1446352422272528385,3.0,1.0,3781095.477936,31902.271136000003
11938,3375064758,818660875259277313,3.0,2.0,99684.303627,486652.698863
12029,4026045455,16146062,1.0,2.0,2692.633155,299426.051024
12042,4026045455,174544891,1.0,2.0,2692.633155,299426.051024
12055,4026045455,739347067,1.0,2.0,2692.633155,299426.051024
12081,4026045455,1248842158553141250,1.0,2.0,11814.344347,299426.051024
12084,4104867797,16213179,4.0,1.0,232512.70361799997,57679.872430999996
12147,4568748862,1446352422272528385,3.0,1.0,3781095.477936,40337.761048
12195,720083863830069249,1446352422272528385,3.0,1.0,3781095.477936,286902.32003400003
12215,720579941184757760,266580278,1.0,2.0,1943.1085690000002,331816.84663000004
12223,720579941184757760,404349157,1.0,2.0,61485.944047000005,331816.84663000004
12272,720579941184757760,1095260188716777472,1.0,3.0,9532.123373,331816.84663000004
12291,737359208945844224,40216315,3.0,2.0,27703.853318999998,1233496.3266780002
12328,737359208945844224,3237987454,3.0,1.0,543854.555441,1233496.3266780002
12330,737359208945844224,3418588623,3.0,6.0,416578.260695,1233496.3266780002
12333,737359208945844224,4803873902,3.0,6.0,47991.797485,1233496.3266780002
12427,737359208945844224,1438876255202406406,3.0,6.0,47991.797485,1233496.3266780002
12429,737359208945844224,1446352422272528385,3.0,1.0,3781095.477936,1233496.3266780002
12487,876849435820474368,68966030,3.0,2.0,36859.272338,70009.053382
12489,876849435820474368,226216800,3.0,1.0,3795.556118,70009.053382
12496,876849435820474368,1446352422272528385,3.0,1.0,3781095.477936,70009.053382
12595,883774859452579840,1360345646826483717,3.0,1.0,409077.434489,802950.539736
12632,955157569894404096,1306136273782935553,3.0,1.0,63937.10165700001,101497.73965599999
12914,1086084557009575936,2834753506,3.0,2.0,27357.585979000003,705669.900703
12928,1086084557009575936,711980580813066240,3.0,2.0,736622.894841,705669.900703
12931,1086084557009575936,818660875259277313,3.0,2.0,99684.303627,705669.900703
12956,1086084557009575936,1446352422272528385,3.0,1.0,3781095.477936,705669.900703
12996,1125543746697924609,751852736,4.0,1.0,688617.522824,473793.793513
13101,1143229947932229632,376391827,4.0,2.0,176837.036423,812987.549734
13210,1143229947932229632,1309334948847943681,4.0,1.0,117837.096843,812987.549734
13306,1162219997977960449,20750271,1.0,2.0,55515.858326999994,315721.791239
13314,1162219997977960449,103297393,1.0,13.0,2094.380837,315721.791239
13435,1170770038208565248,30247200,1.0,3.0,11003.424869,257934.54964699998
13478,1171073846335721472,68966030,1.0,2.0,36859.272338,84851.329482
13506,1198299741060239360,1976161178,3.0,1.0,4864.415014,66844.30955800001
13511,1198299741060239360,1446352422272528385,3.0,1.0,3781095.477936,66844.30955800001
13513,1203545123356839936,19478009,1.0,2.0,8464.767319,144817.687369
13658,1337408652416864259,3586975572,3.0,2.0,4754.586714,1081.790466
13660,1342125115383939073,16213179,4.0,1.0,232512.70361799997,470222.993257
13779,1381435843492085760,15677734,1.0,2.0,389040.22610100004,467670.890486
13903,1382491059247255554,2548489298,3.0,2.0,120526.500806,422347.472387
13937,1382491059247255554,1446352422272528385,3.0,1.0,3781095.477936,422347.472387
