Source,Target,Type,Id,Label,timeset,Weight
1426965765744439300,Bloc Québécois,Directed,55642,,,2
583364739,Bloc Québécois,Directed,55643,,,1
4104867797,Bloc Québécois,Directed,55646,,,3
4834905915,Bloc Québécois,Directed,55650,,,9
190410219,Bloc Québécois,Directed,55657,,,1
525719842,Bloc Québécois,Directed,55658,,,4
763991641,Bloc Québécois,Directed,55663,,,3
4329149122,Bloc Québécois,Directed,55666,,,2
257179344,Bloc Québécois,Directed,55669,,,1
2363048184,Bloc Québécois,Directed,55679,,,1
838440724408516608,Bloc Québécois,Directed,55680,,,1
2375671734,Bloc Québécois,Directed,55698,,,2
1109136672917209091,Bloc Québécois,Directed,55699,,,3
110475311,Bloc Québécois,Directed,55707,,,17
29829354,Bloc Québécois,Directed,55709,,,2
1417147821472501764,Bloc Québécois,Directed,55710,,,1
765177124730929152,Bloc Québécois,Directed,55715,,,2
2854830300,Bloc Québécois,Directed,55717,,,2
262305830,Bloc Québécois,Directed,55718,,,8
1352699133379883008,Bloc Québécois,Directed,55719,,,4
596787864,Bloc Québécois,Directed,55722,,,2
23713344,Bloc Québécois,Directed,55731,,,1
4835935229,Bloc Québécois,Directed,55732,,,1
257530658,Bloc Québécois,Directed,55744,,,1
1165944978,Bloc Québécois,Directed,55745,,,2
583543380,Bloc Québécois,Directed,55746,,,2
585989171,Bloc Québécois,Directed,55749,,,2
2323834254,Bloc Québécois,Directed,55753,,,3
236490334,Bloc Québécois,Directed,55755,,,1
1319082870498091008,Bloc Québécois,Directed,55756,,,3
375766773,Bloc Québécois,Directed,55758,,,3
1053324714427465728,Bloc Québécois,Directed,55759,,,4
1076825961688125441,Bloc Québécois,Directed,55761,,,3
229289841,Bloc Québécois,Directed,55768,,,8
300211451,Bloc Québécois,Directed,55770,,,2
1917216540,Bloc Québécois,Directed,55772,,,2
1310206245631078400,Bloc Québécois,Directed,55775,,,5
228354250,Bloc Québécois,Directed,55780,,,1
891422779,Bloc Québécois,Directed,55781,,,9
1078434428,Bloc Québécois,Directed,55785,,,1
948418445187715072,Bloc Québécois,Directed,55794,,,3
307572043,Bloc Québécois,Directed,55818,,,1
864457447062351873,Bloc Québécois,Directed,55821,,,4
922605476424048640,Bloc Québécois,Directed,55822,,,2
2828630539,Bloc Québécois,Directed,55823,,,4
912006790493212672,Bloc Québécois,Directed,55824,,,1
152012918,Bloc Québécois,Directed,55827,,,2
506816322,Bloc Québécois,Directed,55828,,,4
1364969404132446218,Bloc Québécois,Directed,55829,,,1
2191882972,Bloc Québécois,Directed,55830,,,1
2439166100,Bloc Québécois,Directed,55831,,,1
105372011,Bloc Québécois,Directed,55832,,,1
252905412,Bloc Québécois,Directed,55836,,,3
2397249467,Bloc Québécois,Directed,55837,,,3
282149727,Bloc Québécois,Directed,55839,,,11
747064303,Bloc Québécois,Directed,55841,,,1
803381983,Bloc Québécois,Directed,55846,,,1
1398407226,Bloc Québécois,Directed,55852,,,2
3163148070,Liberal,Directed,55855,,,10
567138931,Liberal,Directed,55862,,,1
1222274097935073281,Liberal,Directed,55867,,,9
339273624,Liberal,Directed,55870,,,1
17688080,Liberal,Directed,55871,,,2
838084501553221634,Liberal,Directed,55872,,,1
1334535386559746048,Liberal,Directed,55873,,,1
776246636,Liberal,Directed,55875,,,2
450075824,Liberal,Directed,55876,,,1
1209617399739080704,Liberal,Directed,55878,,,1
1442911147456282624,Liberal,Directed,55881,,,1
1307948858010267648,Liberal,Directed,55883,,,1
398455202,Liberal,Directed,55892,,,2
63606251,Liberal,Directed,55893,,,1
1295041264220540929,Liberal,Directed,55898,,,1
938449472715026433,Liberal,Directed,55900,,,1
385678932,Liberal,Directed,55901,,,5
494259870,Liberal,Directed,55902,,,2
1426726511583932416,Liberal,Directed,55903,,,12
291336460,Liberal,Directed,55904,,,3
2978651261,Liberal,Directed,55905,,,6
1636677512,Liberal,Directed,55907,,,3
3237987454,Liberal,Directed,55908,,,42
609432652,Liberal,Directed,55909,,,34
722527003,Liberal,Directed,55910,,,1
378860765,Liberal,Directed,55911,,,6
1696849597,Liberal,Directed,55912,,,10
3145959239,Liberal,Directed,55913,,,11
1706203484,Liberal,Directed,55914,,,6
154311944,Liberal,Directed,55916,,,27
2339733614,Liberal,Directed,55920,,,1
1035959701,Liberal,Directed,55921,,,1
32659679,Liberal,Directed,55925,,,1
3093802429,Liberal,Directed,55926,,,1
72095672,Liberal,Directed,55930,,,3
27068599,Liberal,Directed,55931,,,2
206220968,Liberal,Directed,55932,,,2
21665234,Liberal,Directed,55933,,,6
265419095,Liberal,Directed,55934,,,28
285771480,Liberal,Directed,55935,,,19
751323004081143808,Liberal,Directed,55936,,,1
492468946,Liberal,Directed,55937,,,1
1362830506077786118,Liberal,Directed,55939,,,1
3948995117,Bloc Québécois,Directed,55944,,,5
1252621477674921985,Bloc Québécois,Directed,55951,,,1
1294756234374111236,Bloc Québécois,Directed,55952,,,3
896523848,Bloc Québécois,Directed,55953,,,10
2181094165,Bloc Québécois,Directed,55955,,,3
896874095106826240,Bloc Québécois,Directed,55968,,,1
229570590,Bloc Québécois,Directed,55970,,,2
1211653933875089408,Bloc Québécois,Directed,55973,,,1
1440664285210767367,Bloc Québécois,Directed,55977,,,14
1401765171601850373,Bloc Québécois,Directed,55978,,,3
1326481061296082945,Bloc Québécois,Directed,55982,,,1
1349200706037805057,Bloc Québécois,Directed,55988,,,1
276093811,Bloc Québécois,Directed,55989,,,4
797430894,Bloc Québécois,Directed,55993,,,4
