Id,Label,timeset,twittername,first name,last name,political affiliation,betweenness_centrality,communityid,out_degree_centrality
897770628,,,DaveMacKenzieMP,Dave,MacKenzie,Conservative,8919.353583,3,0
343059330,,,Eric_Melillo,Eric,Melillo,Conservative,546327.727789,3,0.000112
3356795013,,,Gabriel_SMarie,Gabriel,Ste-Marie,Bloc Québécois,31925.921124,4,0
47158291,,,danmuysforfg,Dan,Muys,Conservative,59078.940067,3,0
34606493,,,JohnNaterMP,John,Nater,Conservative,153897.887274,3,0
4104867797,,,ATherrienBQ,Alain,Therrien,Bloc Québécois,57679.872431,4,0.000335
283179858,,,ScottReidCPC,Scott,Reid,Conservative,,,
876849435820474368,,,Lianne_Rood,Lianne,Rood,Conservative,70009.053382,3,0
1086084557009575936,,,AlexRuff17,Alex,Ruff,Conservative,705669.900703,3,0
256552850,,,Jamie_Schmale,Jamie,Schmale,Conservative,49975.658412,3,0
1198299741060239360,,,kyleseeback,Kyle,Seeback,Conservative,66844.309558,3,0
883774859452579840,,,DougShipleyBSOM,Doug,Shipley,Conservative,802950.539736,3,0
269930134,,,karen_vecchio,Karen,Vecchio,Conservative,262577.861812,3,0.000223
3136229996,,,GenereuxBernard,Bernard,Généreux,Conservative,89.200277,3,0
943174774154498048,,,richardmartelpc,Richard,Martel,Conservative,26284.209638,3,0.000223
268832287,,,LucBerthold,Luc,Berthold,Conservative,90685.891289,3,0.000335
412708728,,,PierrePaulHus,Pierre,Paul-Hus,Conservative,906184.785229,3,0.000112
414218319,,,AlainRayes,Alain,Rayes,Conservative,262984.749785,3,0.000112
36133644,,,gerarddeltell,Gérard,Deltell,Conservative,1443832.511074,3,0.000112
28804785,,,KellyBlockmp,Kelly,Block,Conservative,4166.038548,3,0
3402128080,,,GillMarilene,Marilène,Gill,Bloc Québécois,20433.450599,4,0
564207331,,,MichaelKramSK,Michael,Kram,Conservative,215117.371657,3,0
955157569894404096,,,BradRedekopp,Brad,Redekopp,Conservative,101497.739656,3,0
256360738,,,AndrewScheer,Andrew,Scheer,Conservative,433765.773983,3,0
27079065,,,ctochor,Corey,Tochor,Conservative,16950.679977,3,0
16220555,,,ElizabethMay,Elizabeth,May,Green Party,748801.756173,2,0.000112
336662190,,,KevinVuongTO,Kevin,Vuong,Independent,26820.269657,1,0
16180205,,,JoyceMurray,Joyce,Murray,Liberal,41536.28052,1,0
2852899113,,,CQualtro,Carla,Qualtrough,Liberal,683996.113796,1,0
1162219997977960449,,,PatrickBWeiler,Patrick,Weiler,Liberal,315721.791239,1,0.000223
2322580746,,,jimcarr_wpg,Jim,Carr,Liberal,49951.182879,1,0.000112
171115367,,,TerryDuguid,Terry,Duguid,Liberal,64581.776221,1,0
208750527,,,Kevin_Lamoureux,Kevin,Lamoureux,Liberal,0,1,0
234550882,,,stbstvdan,Dan,Vandal,Liberal,295135.734099,1,0.000112
720579941184757760,,,DLeBlancNB,Dominic,LeBlanc,Liberal,331816.84663,1,0
436087744,,,WayneLongSJ,Wayne,Long,Liberal,183392.48565,1,0
3341414159,,,GinettePT,Ginette,Petitpas Taylor,Liberal,45453.821308,1,0
240786249,,,YvonneJJones,Yvonne,Jones,Liberal,151334.079987,1,0.000335
3257047456,,,McDonald4Avalon,Ken,McDonald,Liberal,80422.517326,1,0
22849568,,,SeamusORegan,Seamus,O'Regan,Liberal,2048458.572334,1,0.000335
500232993,,,ChurenceRogers,Churence,Rogers,Liberal,76465.365939,1,0.000112
1318671397560979456,,,Joanne_NL,Joanne,Thompson,Liberal,536240.70405,1,0.000112
3242606862,,,MMcLeodNWT,Michael,McLeod,Liberal,111631.772854,1,0.000112
1166717268975333376,,,JaimeBattiste,Jaime,Battiste,Liberal,237404.175681,1,0.000223
1171073846335721472,,,KodyBloisNS,Kody,Blois,Liberal,84851.329482,1,0
1304472952482783232,,,LenaMetlegeDiab,Lena Metlege,Diab,Liberal,464.056772,1,0
